Title,Company,Location,Posted Date,Qualifications,Job Description,URL
Unity 3D Developer,"Presta Sports, LLC","Conshohocken, PA",N/A,"['C#', 'Mid-level', '.NET', '3 years', 'SQL', 'AWS', 'PostgreSQL', 'Back-end development', 'Unity', 'Communication skills']","Unity 3D Full Stack Developer Presta Sports (www.prestasports.com) is the developer of a virtual bicycling software application for passionate cyclists. We have an immediate need for a full time senior level backend video game developer. The product is nearing Beta release and we need talented and experienced developers with excellent communication and technical skills to bring the product design to a robust reality. This is a hands-on position and candidates must be full stack developers who are comfortable with the entire technical stack. Must have deep experience developing the back end and front end of applications with Amazon Web Services, Postgre SQL, C#, .NET and Unity 3D. Major pieces of the application include the following: Game objects link to third party hardware through Bluetooth connections Virtual data server holds large scale active game data Video storage library and streaming service Camera control to link video and animation Deployment across multiple hardware platforms The application front end shows the cyclist on actual roads with actual performance determined by the cyclists effort on a real bike Presta Sports is a startup company which is funded by the Founder and CEO. Work is in our office in Conshohocken, PA. Casual office attire. Full benefits. Only local candidates need apply. No agencies please. Presta Sports maintains a non-smoking environment. Job Type: Full-time Pay: $95,000.00 - $175,000.00 per year Benefits: Dental insurance Health insurance Paid time off Schedule: Monday to Friday Ability to commute/relocate: Conshohocken, PA: Reliably commute or planning to relocate before starting work (Required) Application Question(s): Do you have a minimum of three years experience working with Unity 3D? Work Location: In person",https://www.simplyhired.com/job/qPQiSVcHVdeBKDiMwbv3sVATeUwOAOfLJSKYvYCSo5CEt9DxkrH_rQ
Web Developer III,"Partners Consulting, Inc.","Philadelphia, PA",N/A,"['JBoss', '7 years', 'CSS', 'XML', 'System architecture', 'SOAP', 'REST', 'IT', 'Front-end development', 'Middleware', 'Service-oriented architecture', 'Senior level', 'Spring', 'HTML5', 'Hibernate']","Title:   Web Developer III
 
 Location:   Philadelphia, PA
 
 Type:   Contract to Hire
 
 
Our client is seeking a Web Developer III who has experience with designing and blueprinting SOA solutions.
 
 
 Key Accountabilities: 
 Resolve architectural design issues during system implementation
 Provide ESB based integration architecture design plans for major projects currently underway.
 Create ESB technology deployment strategy and operations management strategy and plan, organizational model and change management plan.
 Assist in defining SOA and BPMS strategy and governance.
 Assist in defining BPMS and workflow integration solutions for upcoming workflow efforts.
 Ability to work equally well in software architect, designer, or implementer roles.
 Play a leadership role in establishing standards, policies strategy and best practice.
 Ability to discuss industry and marketplace trends and directions and site relevant case studies.
 Have an influence on wide or high-impact decisions and initiatives and has a theoretical background and understanding of the subject matter.
 Managed a diverse and complex suite of projects simultaneously.
 Manage cross-functional projects/project teams
 
 Required Skills: 
 7+ years of IT experience.
 4+ years of experience with systems architecture, SOA, middleware technologies, and front-end development.
 Hands on experience with the following technologies: HTML 5, CSS, JBoss, Hibernate, and Spring.
 Knowledge of SOA trends, market analysis, and products and SOA standards, including XML, REST, SOAP, WSDL, UDDI, and middleware.
 Knowledge of SOA strategies, including ROI-based analysis around service prioritization and value capture.
 Prior experience integrating with a rules engine, Fair Isaac would be a plus.
 Extensive experience in multiple and diverse environments and applications.
 Knowledge and experience in all major functions, issues and considerations of the subject matter.
 
#prt123 
 
REQ-001274",https://www.simplyhired.com/job/pc5Di15jSgRUkfz8bjevqQzprxLn-kqGyHwfgUs8DdayP5hQxES5Cg
Direct Mail Data Processing Programmer - Commercial Print / Direct Mail,Phoenix Lithographing Corporation,"Philadelphia, PA",N/A,"['Computer science', 'Computer Science', 'Writing skills', 'Business analysis', 'English', 'Mid-level', 'SQL', ""Bachelor's degree"", 'Manufacturing', ""Associate's degree"", '2 years', 'Communication skills']","PHOENIX LITHOGRAPHING CORPORATION , a commercial printing company, has an immediate opening for a Data Processing Programmer for its Direct Mail Division at its Northeast Philadelphia facility. This is a full time position for day shift with some overtime as needed. There is growth potential for the right candidate. POSITION SUMMARY : The Data Processing Programmer will integrate customer data for processing in a print production environment. They perform data conversion, cleansing, mapping, and validation to prepare for mail production. This role will also provide off-hour support. ESSENTIAL FUNCTIONS: Collaborate with customers and internal process teams to identify data needs and design solutions to convert data and support workflows. Comply with client supplied business rules and internal standards Complete data cleansing and validation. Assist with production support to correct discrepancies. Seek and recommend solutions and design improvements. Apply security best practices when working with client data Estimate and deliver projects on time. Levering tools to comply with domestic and international mailing regulations Comply with company policies and procedures and promote company values and culture. ADDITIONAL RESPONSIBILITIES: Provide off-hours support. Perform other duties as may be assigned. ESSENTIAL SKILLS: Proficiency with data conversion concepts. Proficiency with gathering/analyzing/documenting data requirements. Commitment to detail. BCC Software tools Familiarity with print manufacturing processes and machines. Familiarity with Postal Pre-sort and Data Hygiene toolsets. Familiarity with business analysis and testing. GENERAL REQUIREMENTS: Possess highest degree of personal integrity. Remain courteous and respectful with all related contacts Collaborate well in groups Maintain a customer-service vantage point. Demonstrate personal initiative and resourcefulness. Require high quality standards for own work. Possess excellent interpersonal, organizational and communication skills, both verbally and in writing. EDUCATION, TRAINING AND EXPERIENCE REQUIREMENTS: Must have Associates degree in Computer Science-related technical discipline or equivalent experience. (Bachelor degree preferred) Two or more years of professional experience preferred Salary will be commensurate with experience. Excellent benefits. Phoenix is an equal opportunity employer. No phone calls, please. NOTE: IF YOUR RESUME DOES NOT REFLECT THE REQUIRED EXPERIENCE, IT WILL NOT BE CONSIDERED . Job Type: Full-time Benefits: 401(k) Dental insurance Employee assistance program Health insurance Health savings account Life insurance Paid time off Vision insurance Schedule: 8 hour shift Monday to Friday Application Question(s): Are you willing to undergo a background check and drug test? Identify the prior employment on your resume that reflects the BCC software and US postal experience you claimed in the questions above.  IF YOU  LEAVE THIS BLANK OR ANSWER N/A YOU WILL NOT BE CONSIDERED. Education: Bachelor's (Preferred) Experience: data conversion concepts: 2 years (Preferred) data processing programming: 3 years (Preferred) gathering/analyzing/documenting data requirements: 2 years (Preferred) commercial print manufacturing: 1 year (Preferred) SQL: 1 year (Preferred) BCC software tools: 2 years (Required) US postal pre-sort and data hygiene: 2 years (Required) Language: English (Required) Work Location: In person",https://www.simplyhired.com/job/VjRs820ps3nHh8SXkC80UZfWFrLQuy1dbjH9HlxXyc3fmM3a61qamw
Senior Software Engineer / Philadelphia,Motion Recruitment,"Philadelphia, PA",N/A,"['Azure', '6 years', 'React', 'RESTful API', '.NET', 'REST']","A financial software company based in Center City, Philadelphia is looking for a Senior Software Engineer to join their team. In this role, you’ll work on enterprise-level software solutions with a highly collaborative team. They’re looking for someone with .NET 8, React, and REST API experience. Any exposure to Azure Cloud is a huge plus! The role is fulltime direct hire and offers a competitive compensation package. All applicants must be comfortable being onsite 3 days a week in Center City. Required Skills & Experience
 6+ years of development experience
 .NET 6+
 Rest API
 React preferred
 What You Will Be Doing Tech Breakdown
 60% Backend
 40% Frontend
 Daily Responsibilities
 100% Hands On
 The Offer You will receive the following benefits:
 Medical Insurance
 Dental Benefits
 Vision Benefits
 Paid Time Off (PTO)
 401(k)
 
Applicants must be currently authorized to work in the US on a full-time basis now and in the future. 
 
 
#LI-AS1",https://www.simplyhired.com/job/B7lxRP6B5GCh7rI5Ce-mcRYS96iRVIeNfCaK2FzFg8K4pdXIZcHsYg
Azure Cloud Engineer,JLA Resourcing,"Philadelphia, PA",6 days ago,"['Networking', 'Azure', 'Cloud architecture', 'Meraki', '3 years', 'Computer networking', 'Cloud computing', 'Communication skills', 'Microsoft Intune', 'Intune', 'Network security']","The Opportunity: This is a great chance to join a company who are going through a complete digital transformation programme and replacing legacy on-prem systems with fully cloud based solutions. The company are based in San Diego with additional sites in Mexico and Australia but this role can be carried out remotely with occasional travel to San Diego. They recently divested from a large corporate enterprise and are now a standalone 500 person business with plans to double in size and investment in technology is paramount to this growth. They're looking to hire a Cloud Engineer / Cloud & Network Engineer / EUC Engineer with a focus on M365. The Role: You'll be joining at a point in the journey where you can still shape the future landscape and direction of technology and will be responsible for the architecture, management and support of cloud services working closely with a really experienced cloud architect who has done exactly this type of digital transformation in a number of other businesses so has tried and tested processes in place. Networking will be via Cisco Meraki kit and there's a keen focus on Security - the SOC is outsourced but it will using all tools within the M365 E5 suite. You will also support the new Cloud based ERP platform and will help to support other applications, some of which are specific to the Medical Technology space, others are more aligned to group functions such as HR Technology. The Person: The ideal person will have: - In depth experience of M365 E5 and be particularly strong with Intune (for both mobile device management / MDM and Application Packaging), Azure AD, Security, Defender, setting up conditional access policies etc - Have a strong understanding of network technologies, network security and ideally experience of Cisco Meraki products - Have excellent communication skills and the ability to interact - Be able to do both high-level and low-level solution design and implementation The company are based in San Diego and whilst this role can be carried out primarily remotely there will be occasional travel to site. Job Type: Full-time Pay: $115,000.00 - $120,000.00 per year Compensation package: Bonus opportunities Schedule: Monday to Friday Application Question(s): Is your experience in Cloud Platforms as a Support Engineer? Experience: Azure: 3 years (Required) Intune: 1 year (Preferred) Networking: 2 years (Preferred) Meraki: 1 year (Preferred) Work Location: Hybrid remote in Philadelphia, PA 19148",https://www.simplyhired.com/job/0TdJmgYP8k1ycxpq3AvWA-gKX6-l74JVMP29GKnTjer-Ux_W_kSBYw
Mobile Developer,Thayer Distribution,"Aston, PA",12 days ago,"['Kotlin', 'Node.js', 'Mobile applications', 'Mid-level', '.NET', 'Databases', 'SQL', 'C++', ""Bachelor's degree"", 'JavaScript', 'Android development', '2 years', 'React Native', 'Time management']","We are Thayer Distribution — a small (but mighty!) family-owned and operated logistics company. We distribute candy, snacks, paper, cleaning, and convenience products to companies all along the East Coast while also growing and pushing West. We’re looking to bring on a Mobile Developer to join our roubust Development team. We're looking for someone with at least 2 years of experience, so if you geek out over coding and building mobile applications, we’ve got a spot for you! A technology company at heart,  we utilize our homegrown software and applications to bridge the gap between big manufacturers (think: M&M Mars, Hershey's, Herr's Chips, if you're looking for a hometown hero) and wholesale distributors to produce greater profit for all. No idea what any of that means? We don't blame you; we’re a pretty niche company with a fast-paced work ethic and a unique family-like culture. Don’t fret, though—we’ll get you up and running quicker than you can say ‘Snickers.’ Established in the 1970s by two Argentine immigrants,  Thayer has continued to disrupt the convenience food channel since we entered the scene. Our founders realized the importance of investing in and creating technology very early on. By doing so, we’ve emerged as the industry leader just 50 years after our company's inception. So, what's it  really   like to work at Thayer?  Glad you asked! Here are some of the things you should be comfortable with as a Thayer developer: 1.  Developing mobile applications. If you're passionate about mobile development and enjoy working with cutting-edge tech, to complete a project from start to finish, we may be the team for you! 2.  Learn. We don't need know-it-alls (we have our bosses for that, am I right?!). We believe that you can always learn and grow, no matter how experienced you are. If you disagree, Thayer might not be the best fit for you (and that’s okay!). 3.  Have fun and integrate into the team. Cliché? Maybe. The truth? Absolutely! We genuinely enjoy working with our teammates. That's why we love our internal and external events, like the annual holiday brunch or company-wide bowling competitions. Anyone looking to take on our reigning ""Chili of the Week"" champion? You'll have your chance but be forewarned: you've got some tough competition. 4.  Collaborating. We ask all our employees to leave their egos at the door. We get along best with team players that enjoy working with others, but also know how to work independently.  That's why we're so adamant that this position is in-person.  As the CEO of Google recently said, “We firmly believe that in-person, being together, having a sense of community is super important when you have to solve hard problems and create something new…” Responsibilities and Duties ·  Regular, reliable, in-person, on-site attendance  Monday through Friday 8:30 – 5:00, with 30 minutes for lunch · Participates in development of new mobile applications. · Build applications, as directed, from beginning to end. · Protects operations by maintaining confidentiality. · Keeps current with technical knowledge and stay abreast of industry breakthroughs. · Makes suggestions to improve upon existing applications. Execute as approved. Qualifications · Bachelor’s Degree and/or equivalent experience. ·  Strong working knowledge of React Native, Andriod Native Apps, Expo, Kotlin and C++. · Knowledge in: SQL databases, .NET, Javascript (Node. js front end framworks) is a plus · Minimum of 2 years experience. · Effective time management skills and ability to meet deadlines. · Ability to absorb and apply constructive criticism. · Detail oriented. · Ability to function both as an individual and part of a team. · Excellent communicator both verbal and written. Benefits · Employee Insurance paid by company, including, Health, Dental, Life and Short-term disability. · 401(k) with match. · Paid Holidays · Paid Time Off (Available to use your first year of hire) Salary · Competitive Salary based on experience and industry standards. Job Type: Full-time Pay: $60,000.00 - $80,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Health insurance Life insurance Paid time off Referral program Experience level: 2 years Schedule: 8 hour shift Application Question(s): This position requires Full-Time In-Person attendance. REMOTE WORK IS NOT PERMITTED. Are you able to meet these requirements? Experience: Mobile applications: 2 years (Required) Work Location: In person",https://www.simplyhired.com/job/4_GzaHHS6WH4trEhz7bzrUTial4RwLd1dQwvaWCJIkBAAZ1zOxfE5Q
.Net Core Software Engineer (Intermediate),The Personnel Consulting Group,United States,N/A,"['MVC', 'ASP.NET Core', 'Software troubleshooting', 'Bootstrap', 'React', '.NET Core', 'C#', 'Microsoft SQL Server', 'Git', 'Mid-level', '.NET', '3 years', 'Microservices', 'SQL', ""Bachelor's degree"", 'JavaScript', 'REST', 'Angular', 'Scrum', 'Communication skills', 'Entity Framework', 'T-SQL', 'SDLC']","We are partnering with a Louisiana boutique tech consulting firm on a 99% remote . NET Core Software Developer position. 
Job Description: 
We are seeking intermediate level .NET Software Developer to design and implement software solutions for our clients. In this role, we are looking for a detail-oriented, independent, and proactive individual who can quickly acclimate and interface with stakeholders to understand software needs. 
Responsibilities: 
 Design, code, compile, troubleshoot, and test application code to successfully deliver project-based work 
 Maintenance and support of existing applications 
 Work and collaborate with Scrum team members to understand and analyze requirements to deliver quality solutions that fit business needs in a timely fashion 
 Participate in design sessions and Scrum ceremonies 
 Monitor, debug, and refactor code to improve performance of software solutions 
 Develop documentation throughout the software development lifecycle (SDLC) 
 
 Mandatory Technical/Non-Technical Requirements: 
 Strong written and verbal communication skills 
 C#, ASP.NET Core, MVC 
 WebAPI, REST 
 Experience with a modern JavaScript framework such as React, Angular, or VueJS 
 NPM, Git Source Control 
 Entity Framework Core 
 Microsoft SQL Server 2012+ (T-SQL) 
 Desired Skills: 
 Experience in the following libraries: Mediator, AutoMapper, FluentValidation 
 Experience or understanding of modern microservices based architectures and/or CQRS 
 VueJS 
 Webpack 
 Bootstrap 
 Scrum Methodology 
 Experience: Minimum three (3) years .NET development Scrum experience is desirable 
Education and Certifications: Bachelor’s Degree 
Salary $95-105K",https://www.simplyhired.com/job/EEMI6pA7M9kkY38-pxBPhPkAfxbuWbwWTsB2iUL6hLl-paM_bau_yg
z/os systems programmer contract - Remote,CALIBRO CORP,United States,N/A,"['5 years', 'Mainframe development', 'Senior level']","Z/OS Mainframe System Programmer who can install, troubleshoot, and maintain their mainframe system. The ideal candidate who is comfortable with the following Responsibilities Installs, upgrades and customizes ISV software tools in a multi-system z/OS mainframe environment Automation SA/390 support Provides usage support for Applications Development, Infrastructure, IT Operations and IT Production Support and user community Required to be on call 24x7 on a rotating basis for problem resolution and high systems availability Use IBM and ISV online tools for opening and managing problem report tracking and resolution Actively participates in periodic DR exercises; maintains DR readiness of systems Monitors status of systems to proactively prevent issues from occurring. Hardware Configuration Works to accomplish organizational goals that are consistent in supporting both IT and Business objectives Performance and capacity planning Job Type: Contract Pay: $55,017.00 - $122,659.00 per year Benefits: 401(k) Dental Insurance Health Insurance Vision Insurance Schedule: Monday to Friday Experience: z/os systems programming: 5 years (Required) IBM Storage: 5 years (Required) Contract Renewal: Possible Full Time Opportunity: No Work Location: Fully Remote This Company Describes Its Culture as: Detail-oriented -- quality and precision-focused People-oriented -- supportive and fairness-focused Team-oriented -- cooperative and collaborative Company's website: www.calibrocorp.com Benefit Conditions: Waiting period may apply Only full-time employees eligible",https://www.simplyhired.com/job/BB8sftPAxzbl8-syA6K3pfskRCtk2ChrKD-jlVJLPZxwDp8D03P08g
Sr. C/C++ Software Engineer,Comcast Corporation,Pennsylvania,N/A,"['7 years', 'Windows', 'Technical support', 'C++', 'C', ""Bachelor's degree"", 'Distributed systems', 'Computer networking', 'Software development', 'Senior level', 'Communication skills', 'Editing', 'SDLC']","FreeWheel, a Comcast company, provides comprehensive ad platforms for publishers, advertisers, and media buyers. Powered by premium video content, robust data, and advanced technology, we’re making it easier for buyers and sellers to transact across all screens, data types, and sales channels. As a global company, we have offices in nine countries and can insert advertisements around the world. 
Job Summary 
FreeWheel is looking for passionate Sr. C/C++ Software Engineer to help design, build and support our highquality, innovative video advertising platform. This position is virtual based. FreeWheel helps the television industry to monetize their premium contents through a robust technology platform, which enables consumers to view high quality videos on any devices including PC, smart phone, OTT device, set-top box and traditional TV. FreeWheel’s global engineering teams are building the one-stop solution for TV industry to manage its billion-dollar revenue. Our tech platform is capable of handling billions of daily requests, processing terabytes of raw daily data, and optimizing clients’ business. 
Job Description 
Development : 
Be a feature owner that is responsible for the complete lifecycle of software development in your owned feature, including designing, prototyping, implementation, testing, maintenance and technical support. 
Produce technical specifications and determine operational feasibility. 
Write well designed, testable, efficient code. 
Develop software verification plans and quality assurance procedures. 
Integrate software components into a fully functional software system. 
Document and maintain software functionality. 
Tailor and deploy engineering tools, processes and metrics. 
Support : 
Support overall business. 
Solve issues in technical way. 
Innovation and Cooperation:
 Serve as the expert of online advertising industry and drive the industry with continuous technical innovation. 
Partner with global engineering, product and operations teams to further incorporate collective innovations. 
Mentor junior level software engineers. 
About You  /  Qualification:
 Extensive experience with C/C++, DB design and network programming. 
Experience with large system software design and development. 
Experience with distributed systems and mission-critical systems is a plus. 
Familiar with Open RTB protocol is a plus. 
Demonstrated expertise in problem solving and technical innovation. 
Strong passion with learning/practicing new technics. 
Knowledgeable about SDLC, Agile and Software Engineering Methodology. 
Team working skills, Good communication skills, Willingness to work under pressure. 
Have strong ability and persistency on technical support. 
Have ability to work close with global teams and accept additional working time besides normal working hours to have meeting or co-working with global teams. 
Advertising industry experience is a plus. 
Core Responsibilities
 Collaborates with project stakeholders to identify product and technical requirements. Conducts analysis to determine integration needs. 
Designs new software and web applications, supports applications under development and customizes current applications. Develops software update process for existing applications. Assists in the roll-out of software releases. 
Trains junior Software Development Engineers on internally developed software applications. 
Oversees the researching, writing and editing of documentation and technical requirements, including evaluation plans, test results, technical manuals and formal recommendations and reports. 
Keeps current with technological developments within the industry. Monitors and evaluates competitive applications and products. Reviews literature, patents and current practices relevant to the solution of assigned projects. 
Provides technical leadership throughout the design process and guidance with regards to practices, procedures and techniques. Serves as a guide and mentor for junior level Software Development Engineers. 
Assists in tracking and evaluating performance metrics. Ensures team delivers software on time, to specification and within budget. 
Works with Quality Assurance team to determine if applications fit specification and technical requirements. 
Displays expertise in knowledge of engineering methodologies, concepts and skills and their application in the area of specified engineering specialty. 
Displays expertise in process design and redesign skills. Presents and defends architectural, design and technical choices to internal audiences. 
Consistent exercise of independent judgment and discretion in matters of significance. 
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary. 
Other duties and responsibilities as assigned. 
Employees at all levels are expected to: 
Understand our Operating Principles; make them the guidelines for how you do your job. 
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services. 
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences. 
Win as a team - make big things happen by working together and being open to new ideas. 
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers. 
Drive results and growth. 
Respect and promote inclusion & diversity. 
Do what's right for each other, our customers, investors and our communities. 
Disclaimer: 
This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications. 
Comcast is proud to be an equal opportunity workplace. We will consider all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, genetic information, or any other basis protected by applicable law. Comcast will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law, including the Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance. 
Salary: 
National Pay Range: $96,706.14 USD-$226,655.01 USD 
Comcast intends to offer the selected candidate base pay within this range, dependent on job-related, non-discriminatory factors such as experience. The application window is 30 days from the date job is posted, unless the number of applicants requires it to close sooner or later. 
Additionally, Comcast provides best-in-class Benefits to eligible employees. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details. 
Education 
Bachelor's Degree 
While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience. 
Relevant Work Experience 
7-10 Years",https://www.simplyhired.com/job/BudRlJkK2OwOivC9T4DXpiIvRfYAoBFwmxtIK4ajq5OgYCI6tj5UuA
Cloud Engineer - Terraform,Vanguard,"Wayne, PA",12 days ago,"['CI/CD', 'Computer science', 'Node.js', 'Software deployment', 'Load balancing', 'UNIX', 'Git', 'Information Systems', 'Mid-level', 'Windows', 'Bash', 'IT infrastructure', 'Firewall', 'Docker', 'Terraform', 'YAML', 'Scripting', 'Computer networking', 'GitHub', 'IT', 'Linux', 'Events management', '1 year', 'Shell Scripting', 'SDLC']","At Vanguard, we are searching for a proficient and experienced Cloud Engineer to become a valuable member of our esteemed engineering team. As part of this role, you will play a crucial role in designing and implementing efficient end-to-end provisioning automation. Your expertise will be instrumental in driving automation and orchestration initiatives, as well as fortifying our technical service offerings. Moreover, you will conduct thorough research and testing of emerging technologies to shape our technological direction. 
In this role you will: 
Define and implement efficient end-to-end provisioning automation 
Act as an automation/orchestration advocate and expert 
Support existing technical service offerings with automation functionality 
Identify automation orchestration related opportunities throughout the organization 
Conduct research and testing of new technologies to solidify technical direction 
Work with internal as well as external resources to achieve project goals 
Work in a collaborative development environment, providing assistance and technical guidance to less experienced team members 
Additional Responsibilities: 
Proficiency in working with Akamai, Terraform, and YAML 
Strong coding and scripting: HCL, NodeJs (GitHub Actions), Bash 
Proficiency in GitOps or equivalent experience, demonstrating a solid grasp of Software Development Lifecycle principles. 
Automation/Orchestration experience: Terraform, Postman, Git, Docker 
Adequate technical competencies with Continuous Integration/Continuous Delivery Pipeline process and technologies through the GitHub Enterprise suite 
Strong written and verbal skills 
Strong interpersonal skills 
Intricate knowledge of IT infrastructure and workflows: hardware, OS, networking, storage, databases, etc. 
Strong teamwork and customer support focus 
Ability to handle numerous conflicting priorities in a professional manner 
Team building and problem resolution skills 
What it takes: 
4-yr College Degree preferably in Information Systems or Computer Science or equivalent experience 
Experience with system deployment, operational considerations, and decommissioning 
Experience designing workflows, especially using GitHub Actions and Workflows in GitHub Enterprise 
Understanding of network provisioning and automation 
Experience with load balancing and firewall technology concepts as it relates to application architecture 
Monitoring and event management experience 
Terraform Associate and/or GitHub Foundations and GitHub Actions certifications a plus 
3+ years of Automation/Orchestration experience 
3+ years of Windows, Unix, Linux OS experience 
3+ years of scripting and/or coding experience 
1+ years of GitHub Enterprise experience 
Join our team at Vanguard and be part of a company that is dedicated to changing the way the world invests. We offer a collaborative and inclusive work environment where you can contribute your unique skills and make a difference. Apply now! 
Special Factors 
Sponsorship 
Vanguard is not offering visa sponsorship for this position. 
About Vanguard 
We are Vanguard. Together, we’re changing the way the world invests. 
For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you. 
We want to make success accessible to everyone. This is our opportunity. Let’s make it count. 
Inclusion Statement 
Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.” 
We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values. 
When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose. 
Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success. 
How We Work 
Vanguard has implemented a hybrid working model for the majority of our crew members, designed to capture the benefits of enhanced flexibility while enabling in-person learning, collaboration, and connection. We believe our mission-driven and highly collaborative culture is a critical enabler to support long-term client outcomes and enrich the employee experience.",https://www.simplyhired.com/job/OerzavwxhqP_P0pBKc2mz4gviZezmRuQBH8QzHxMFsq3aILAZgIPIw
